Player,Avg SG Putting,Avg putts per round,one putt %,three putt %,Avg # of putts,2017 scoring avg,2018 scoring avg,2017 money,2018 money,world golf ranking,events
"Haas, Bill",0.004,29.15,37.84,2.94,1.62,70.011,71.411,2842173,184460,71,51
"Streb, Robert",0.003,29.13,39.83,2.96,1.618,70.7,72.439,1588287,65352,185,52
"Werenski, Richy",0,29.31,38.44,2.93,1.628,71.171,71.9,890262,121739,305,52
"Swafford, Hudson",-0.005,29.49,36.79,2.47,1.638,70.618,71.641,2246090,287452,104,52
"Moore, Ryan",-0.017,29.04,39.52,2.81,1.613,70.741,69.845,1751851,513577,66,47
"McGirt, William",-0.017,29.67,36.81,3.15,1.649,71.151,70.234,1225005,414992,114,52
"Molinari, Francesco",-0.017,29,38.89,3.63,1.611,69.802,71.523,2875850,105524,24,50
"Schniederjans, Ollie",-0.019,29.15,38.25,2.81,1.619,70.704,69.939,1935669,842670,79,52
"Merritt, Troy",-0.027,28.95,39.11,2.63,1.608,71.398,71.364,569682,251931,379,52
"Spaun, J.J.",-0.027,29.35,37.66,2.91,1.63,70.999,70.376,1122611,1033447,127,52
"Armour, Ryan",-0.029,29.88,34.56,3.01,1.66,70.965,70.684,443006,1085345,165,52
"Bozzelli, Dominic",-0.033,28.6,40.43,3.25,1.589,71.49,71.862,868519,70556,267,44
"Lovemark, Jamie",-0.035,28.92,39.53,2.78,1.606,70.391,71.103,1886972,422401,111,52
"Martin, Ben",-0.044,29.25,38.05,3.23,1.625,70.954,70.706,850319,415439,217,52
"Mullinax, Trey",-0.044,29.1,39.43,2.85,1.617,71.027,71.388,758141,119340,386,52
"Stuard, Brian",-0.045,29,39.66,2.55,1.611,71.72,70.78,588806,718697,215,52
"Glover, Lucas",-0.047,29.54,37.35,2.72,1.641,70.139,71.098,1955822,533134,96,48
"Hearn, David",-0.052,29.07,38.56,2.68,1.615,71.107,72.266,800710,110267,343,52
"Hoffman, Charley",-0.057,29,38.63,2.93,1.611,70.351,70.491,4161008,204640,23,52
"Stefani, Shawn",-0.057,29.28,37.58,2.86,1.627,70.983,72.074,404377,204380,374,52
"Rose, Justin",-0.06,29.16,37.41,3.13,1.62,69.699,69.417,4245308,1853200,5,45
"Rodgers, Patrick",-0.066,29.85,36.64,4.13,1.658,71.432,71.072,1346322,482185,161,52
"Kirk, Chris",-0.074,29.18,38.35,2.01,1.621,71.255,70.46,1216047,643220,168,52
