Course Hole,Avg Score,Avg O/U Par,Eagle,Birdie,Pars,Bogey,Dbl Bogey,Other,2017 Average,2018 rd 1,2018 rd 2,2018 rd 3,2018 rd 4,2018 Average
Silverado Resort and Spa North - 10,4.028,0.028,1,69,296,59,10,1,70.827,71.965,71.035,70.787,73.693,71.757
Stadium Course - 17,3.026,0.026,0,39,160,22,10,1,70.787,69.316,69.323,70.805,71.234,70.015
Spyglass Hill GC - 3,3.026,0.026,0,32,90,28,4,0,71.801,70.699,71.161,71.994,72.053,71.389
Monterey Peninsula CC - 5,4.026,0.026,0,21,110,23,1,0,71.801,70.699,71.161,71.994,72.053,71.389
Pebble Beach GL - 13,4.022,0.022,0,31,165,34,1,0,71.801,70.699,71.161,71.994,72.053,71.389
Sea Island Resort (Seaside) - 2,4.02,0.02,0,61,179,56,4,1,69.184,69.761,70.297,68.466,69.425,69.682
Nicklaus Tournament Course - 1,4.019,0.019,0,24,107,21,3,0,70.787,69.316,69.323,70.805,71.234,70.015
Monterey Peninsula CC - 4,4.019,0.019,0,23,112,16,3,1,71.801,70.699,71.161,71.994,72.053,71.389
Silverado Resort and Spa North - 12,4.018,0.018,0,83,274,68,10,1,70.827,71.965,71.035,70.787,73.693,71.757
Sea Island Resort (Seaside) - 12,3.017,0.017,0,34,230,35,2,0,69.184,69.761,70.297,68.466,69.425,69.682
Pebble Beach GL - 18,5.017,0.017,3,66,102,46,12,2,71.801,70.699,71.161,71.994,72.053,71.389
Silverado Resort and Spa North - 17,4.016,0.016,0,76,282,73,5,0,70.827,71.965,71.035,70.787,73.693,71.757
Sea Island Resort (Seaside) - 1,4.013,0.013,0,38,225,34,4,0,69.184,69.761,70.297,68.466,69.425,69.682
Sea Island Resort (Seaside) - 10,4.013,0.013,1,42,213,42,3,0,69.184,69.761,70.297,68.466,69.425,69.682
Nicklaus Tournament Course - 17,3.013,0.013,0,20,114,20,1,0,70.787,69.316,69.323,70.805,71.234,70.015
Torrey Pines (North) - 1,4.013,0.013,0,22,111,22,1,0,72.268,71.462,72.09,72.208,74.779,72.343
TPC Summerlin - 14,3.011,0.011,1,64,308,65,3,0,69.623,71.174,72.284,72.192,70.231,71.542
Waialae CC - 7,3.011,0.011,0,81,285,62,9,2,68.309,69.208,69.224,68.408,68.171,68.895
CC of Jackson - 5,5.005,0.005,0,65,280,59,4,0,71.058,71.542,71.654,72.12,72.333,71.828
Pebble Beach GL - 17,3.004,0.004,0,42,151,33,5,0,71.801,70.699,71.161,71.994,72.053,71.389
Sea Island Resort (Seaside) - 9,4.003,0.003,0,34,235,29,3,0,69.184,69.761,70.297,68.466,69.425,69.682
Silverado Resort and Spa North - 14,4.002,0.002,0,76,289,65,6,0,70.827,71.965,71.035,70.787,73.693,71.757
CC of Jackson - 9,4.002,0.002,0,62,285,59,2,0,71.058,71.542,71.654,72.12,72.333,71.828
Waialae CC - 3,4.002,0.002,0,83,286,58,10,2,68.309,69.208,69.224,68.408,68.171,68.895
Riviera CC - 3,4.002,0.002,1,65,304,64,2,0,71.012,72.203,72.135,70.605,71.382,71.759
Waialae CC - 5,4,0,0,64,314,58,3,0,68.309,69.208,69.224,68.408,68.171,68.895
TPC Scottsdale - 9,4,0,0,67,275,57,5,0,70.192,70.893,70.047,69.903,70.208,70.324
Spyglass Hill GC - 2,4,0,0,20,115,18,1,0,71.801,70.699,71.161,71.994,72.053,71.389
Sea Island Resort (Plantation) - 17,3.994,-0.006,0,24,111,18,1,1,69.184,69.761,70.297,68.466,69.425,69.682
Monterey Peninsula CC - 6,4.994,-0.006,0,37,88,26,2,2,71.801,70.699,71.161,71.994,72.053,71.389
Sea Island Resort (Seaside) - 18,3.993,-0.007,1,45,215,35,5,0,69.184,69.761,70.297,68.466,69.425,69.682
Torrey Pines GC (South) - 8,2.99,-0.01,0,57,203,46,4,0,72.268,71.462,72.09,72.208,74.779,72.343
Riviera CC - 6,2.989,-0.011,1,83,281,66,3,2,71.012,72.203,72.135,70.605,71.382,71.759
TPC Scottsdale - 8,3.988,-0.012,1,52,303,47,1,0,70.192,70.893,70.047,69.903,70.208,70.324
Nicklaus Tournament Course - 6,3.987,-0.013,0,30,100,22,3,0,70.787,69.316,69.323,70.805,71.234,70.015
Torrey Pines GC (South) - 10,3.987,-0.013,0,48,218,44,0,0,72.268,71.462,72.09,72.208,74.779,72.343
Monterey Peninsula CC - 14,2.987,-0.013,0,23,112,19,1,0,71.801,70.699,71.161,71.994,72.053,71.389
Silverado Resort and Spa North - 1,3.986,-0.014,0,64,314,58,0,0,70.827,71.965,71.035,70.787,73.693,71.757
Silverado Resort and Spa North - 6,3.986,-0.014,0,70,305,58,3,0,70.827,71.965,71.035,70.787,73.693,71.757
Waialae CC - 2,3.982,-0.018,1,94,263,74,7,0,68.309,69.208,69.224,68.408,68.171,68.895
Spyglass Hill GC - 12,2.981,-0.019,0,24,111,17,2,0,71.801,70.699,71.161,71.994,72.053,71.389
Monterey Peninsula CC - 2,3.981,-0.019,0,22,116,15,2,0,71.801,70.699,71.161,71.994,72.053,71.389
Sea Island Resort (Seaside) - 17,2.98,-0.02,0,56,197,46,2,0,69.184,69.761,70.297,68.466,69.425,69.682
Silverado Resort and Spa North - 11,2.979,-0.021,0,67,317,46,6,0,70.827,71.965,71.035,70.787,73.693,71.757
TPC Scottsdale - 1,3.975,-0.025,0,69,281,50,3,1,70.192,70.893,70.047,69.903,70.208,70.324
Nicklaus Tournament Course - 8,2.974,-0.026,0,33,105,10,5,2,70.787,69.316,69.323,70.805,71.234,70.015
Torrey Pines (North) - 16,3.974,-0.026,0,31,101,21,3,0,72.268,71.462,72.09,72.208,74.779,72.343
El Camaleon GC - 9,3.973,-0.027,0,69,291,52,3,0,69.609,70.348,70.504,70.654,69.654,70.323
Sea Island Resort (Seaside) - 11,3.973,-0.027,0,56,201,40,4,0,69.184,69.761,70.297,68.466,69.425,69.682
TPC Scottsdale - 10,3.973,-0.027,0,66,284,53,1,0,70.192,70.893,70.047,69.903,70.208,70.324
Sea Island Resort (Seaside) - 5,3.97,-0.03,0,79,170,41,6,5,69.184,69.761,70.297,68.466,69.425,69.682
Nicklaus Tournament Course - 14,3.968,-0.032,0,28,107,18,1,1,70.787,69.316,69.323,70.805,71.234,70.015
Spyglass Hill GC - 18,3.968,-0.032,0,23,114,16,1,0,71.801,70.699,71.161,71.994,72.053,71.389
Waialae CC - 14,3.966,-0.034,0,67,325,42,5,0,68.309,69.208,69.224,68.408,68.171,68.895
Sea Island Resort (Plantation) - 6,3.961,-0.039,0,33,95,27,0,0,69.184,69.761,70.297,68.466,69.425,69.682
Sea Island Resort (Plantation) - 12,3.961,-0.039,0,24,115,14,2,0,69.184,69.761,70.297,68.466,69.425,69.682
La Quinta CC - 3,2.961,-0.039,1,18,123,10,2,0,70.787,69.316,69.323,70.805,71.234,70.015
Torrey Pines GC (South) - 2,3.958,-0.042,0,53,219,36,2,0,72.268,71.462,72.09,72.208,74.779,72.343
La Quinta CC - 2,3.955,-0.045,0,26,111,15,2,0,70.787,69.316,69.323,70.805,71.234,70.015
Monterey Peninsula CC - 1,3.955,-0.045,1,30,100,23,1,0,71.801,70.699,71.161,71.994,72.053,71.389
CC of Jackson - 2,3.953,-0.047,0,75,287,37,8,1,71.058,71.542,71.654,72.12,72.333,71.828
Torrey Pines GC (South) - 5,3.952,-0.048,0,69,190,48,3,0,72.268,71.462,72.09,72.208,74.779,72.343
Plantation Course at Kapalua - 3,3.949,-0.051,0,27,93,13,2,1,70.375,71.912,70.971,71.412,70.588,71.221
Torrey Pines (North) - 14,3.949,-0.051,0,26,112,18,0,0,72.268,71.462,72.09,72.208,74.779,72.343
TPC Scottsdale - 16,2.948,-0.052,0,77,277,44,6,0,70.192,70.893,70.047,69.903,70.208,70.324
Pebble Beach GL - 7,2.948,-0.052,0,51,148,27,3,2,71.801,70.699,71.161,71.994,72.053,71.389
El Camaleon GC - 10,2.945,-0.055,1,69,302,38,5,0,69.609,70.348,70.504,70.654,69.654,70.323
Torrey Pines (North) - 6,3.942,-0.058,1,33,98,22,2,0,72.268,71.462,72.09,72.208,74.779,72.343
Sea Island Resort (Seaside) - 16,3.94,-0.06,0,68,195,27,10,1,69.184,69.761,70.297,68.466,69.425,69.682
TPC Summerlin - 7,3.937,-0.063,1,87,297,51,5,0,69.623,71.174,72.284,72.192,70.231,71.542
Sea Island Resort (Seaside) - 13,3.937,-0.063,1,54,210,35,1,0,69.184,69.761,70.297,68.466,69.425,69.682
Waialae CC - 15,3.936,-0.064,0,80,312,42,5,0,68.309,69.208,69.224,68.408,68.171,68.895
La Quinta CC - 10,3.929,-0.071,1,38,90,22,2,1,70.787,69.316,69.323,70.805,71.234,70.015
TPC Summerlin - 1,3.927,-0.073,0,80,313,48,0,0,69.623,71.174,72.284,72.192,70.231,71.542
Pebble Beach GL - 15,3.926,-0.074,0,45,160,24,2,0,71.801,70.699,71.161,71.994,72.053,71.389
Sea Island Resort (Seaside) - 6,2.924,-0.076,1,44,233,23,0,0,69.184,69.761,70.297,68.466,69.425,69.682
Sea Island Resort (Plantation) - 14,3.923,-0.077,0,31,107,15,2,0,69.184,69.761,70.297,68.466,69.425,69.682
CC of Jackson - 13,2.922,-0.078,0,80,282,44,2,0,71.058,71.542,71.654,72.12,72.333,71.828
Stadium Course - 5,4.922,-0.078,4,65,120,33,9,1,70.787,69.316,69.323,70.805,71.234,70.015
El Camaleon GC - 3,3.916,-0.084,0,98,264,46,4,3,69.609,70.348,70.504,70.654,69.654,70.323
La Quinta CC - 17,3.916,-0.084,0,38,93,22,0,1,70.787,69.316,69.323,70.805,71.234,70.015
Nicklaus Tournament Course - 3,2.916,-0.084,1,31,104,18,1,0,70.787,69.316,69.323,70.805,71.234,70.015
Stadium Course - 4,2.914,-0.086,0,45,164,21,2,0,70.787,69.316,69.323,70.805,71.234,70.015
El Camaleon GC - 17,3.913,-0.087,0,101,256,51,7,0,69.609,70.348,70.504,70.654,69.654,70.323
Spyglass Hill GC - 15,2.909,-0.091,0,31,107,15,1,0,71.801,70.699,71.161,71.994,72.053,71.389
Sea Island Resort (Plantation) - 2,3.897,-0.103,0,31,111,12,0,1,69.184,69.761,70.297,68.466,69.425,69.682
Sea Island Resort (Plantation) - 1,3.89,-0.11,0,36,102,15,2,0,69.184,69.761,70.297,68.466,69.425,69.682
Nicklaus Tournament Course - 2,3.89,-0.11,0,32,109,13,1,0,70.787,69.316,69.323,70.805,71.234,70.015
Monterey Peninsula CC - 3,2.89,-0.11,0,32,108,15,0,0,71.801,70.699,71.161,71.994,72.053,71.389
Monterey Peninsula CC - 11,2.89,-0.11,1,30,109,15,0,0,71.801,70.699,71.161,71.994,72.053,71.389
Stadium Course - 2,3.884,-0.116,0,53,155,22,2,0,70.787,69.316,69.323,70.805,71.234,70.015
Monterey Peninsula CC - 12,4.884,-0.116,1,36,99,18,1,0,71.801,70.699,71.161,71.994,72.053,71.389
Spyglass Hill GC - 4,3.883,-0.117,2,38,91,22,1,0,71.801,70.699,71.161,71.994,72.053,71.389
Sea Island Resort (Seaside) - 8,3.877,-0.123,0,62,216,21,2,0,69.184,69.761,70.297,68.466,69.425,69.682
La Quinta CC - 8,3.877,-0.123,0,39,97,16,2,0,70.787,69.316,69.323,70.805,71.234,70.015
El Camaleon GC - 6,3.875,-0.125,0,92,286,34,3,0,69.609,70.348,70.504,70.654,69.654,70.323
Waialae CC - 12,3.875,-0.125,0,108,282,45,4,0,68.309,69.208,69.224,68.408,68.171,68.895
CC of Jackson - 1,3.873,-0.127,0,98,265,44,1,0,71.058,71.542,71.654,72.12,72.333,71.828
Nicklaus Tournament Course - 13,3.871,-0.129,0,42,92,20,1,0,70.787,69.316,69.323,70.805,71.234,70.015
La Quinta CC - 18,3.87,-0.13,0,37,101,15,1,0,70.787,69.316,69.323,70.805,71.234,70.015
Spyglass Hill GC - 17,3.864,-0.136,0,36,104,13,1,0,71.801,70.699,71.161,71.994,72.053,71.389
CC of Jackson - 15,3.863,-0.137,2,116,230,56,4,0,71.058,71.542,71.654,72.12,72.333,71.828
Plantation Course at Kapalua - 16,3.86,-0.14,0,33,89,14,0,0,70.375,71.912,70.971,71.412,70.588,71.221
Stadium Course - 14,3.858,-0.142,0,50,165,17,0,0,70.787,69.316,69.323,70.805,71.234,70.015
