Course Hole,Avg Score,Avg O/U Par,Eagle,Birdie,Pars,Bogey,Dbl Bogey,Other,2017 Average,2018 rd 1,2018 rd 2,2018 rd 3,2018 rd 4,2018 Average
Sea Island Resort (Plantation) - 8,4.594,-0.406,3,73,65,13,0,1,69.184,69.761,70.297,68.466,69.425,69.682
CC of Jackson - 3,4.593,-0.407,5,179,205,15,4,0,71.058,71.542,71.654,72.12,72.333,71.828
TPC Scottsdale - 13,4.592,-0.408,13,169,195,24,3,0,70.192,70.893,70.047,69.903,70.208,70.324
Nicklaus Tournament Course - 4,4.581,-0.419,1,73,72,8,1,0,70.787,69.316,69.323,70.805,71.234,70.015
Torrey Pines (North) - 9,4.551,-0.449,5,64,85,0,2,0,72.268,71.462,72.09,72.208,74.779,72.343
Plantation Course at Kapalua - 9,4.544,-0.456,2,66,61,6,1,0,70.375,71.912,70.971,71.412,70.588,71.221
La Quinta CC - 13,4.539,-0.461,2,78,67,4,2,1,70.787,69.316,69.323,70.805,71.234,70.015
Pebble Beach GL - 6,4.528,-0.472,6,116,91,17,1,0,71.801,70.699,71.161,71.994,72.053,71.389
Torrey Pines (North) - 17,4.519,-0.481,8,70,69,7,2,0,72.268,71.462,72.09,72.208,74.779,72.343
Spyglass Hill GC - 11,4.506,-0.494,1,83,61,9,0,0,71.801,70.699,71.161,71.994,72.053,71.389
Nicklaus Tournament Course - 7,4.477,-0.523,3,84,59,9,0,0,70.787,69.316,69.323,70.805,71.234,70.015
El Camaleon GC - 13,4.475,-0.525,17,228,132,33,4,1,69.609,70.348,70.504,70.654,69.654,70.323
Stadium Course - 8,4.474,-0.526,6,115,107,3,1,0,70.787,69.316,69.323,70.805,71.234,70.015
Torrey Pines (North) - 5,4.462,-0.538,6,79,64,7,0,0,72.268,71.462,72.09,72.208,74.779,72.343
Sea Island Resort (Plantation) - 16,4.458,-0.542,8,74,67,6,0,0,69.184,69.761,70.297,68.466,69.425,69.682
Nicklaus Tournament Course - 11,4.458,-0.542,5,86,53,10,1,0,70.787,69.316,69.323,70.805,71.234,70.015
Sea Island Resort (Seaside) - 15,4.452,-0.548,16,151,117,16,1,0,69.184,69.761,70.297,68.466,69.425,69.682
La Quinta CC - 11,4.422,-0.578,11,76,61,4,1,1,70.787,69.316,69.323,70.805,71.234,70.015
Monterey Peninsula CC - 16,4.394,-0.606,4,90,57,4,0,0,71.801,70.699,71.161,71.994,72.053,71.389
Waialae CC - 18,4.39,-0.61,15,245,172,7,0,0,68.309,69.208,69.224,68.408,68.171,68.895
Pebble Beach GL - 2,4.372,-0.628,15,119,93,4,0,0,71.801,70.699,71.161,71.994,72.053,71.389
La Quinta CC - 5,4.364,-0.636,5,92,53,4,0,0,70.787,69.316,69.323,70.805,71.234,70.015
La Quinta CC - 6,4.325,-0.675,6,98,45,4,1,0,70.787,69.316,69.323,70.805,71.234,70.015
Plantation Course at Kapalua - 5,4.301,-0.699,6,91,33,4,2,0,70.375,71.912,70.971,71.412,70.588,71.221
Riviera CC - 1,4.284,-0.716,30,261,137,7,1,0,71.012,72.203,72.135,70.605,71.382,71.759
Monterey Peninsula CC - 10,4.271,-0.729,12,96,41,5,1,0,71.801,70.699,71.161,71.994,72.053,71.389
Sea Island Resort (Plantation) - 18,4.258,-0.742,20,87,38,8,2,0,69.184,69.761,70.297,68.466,69.425,69.682
Waialae CC - 9,4.21,-0.79,39,285,104,9,1,1,68.309,69.208,69.224,68.408,68.171,68.895
