Course Round Hole,Grn Firmness,Grn Height,Stimp,AM Wind Spd,AM Wind Dir,PM Wind Spd,PM Wind Dir,Green Grass
Plantation Course at Kapalua - 2 - 12,Medium,0.11,9,22,DW,22,DW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 2 - 13,Medium,0.11,9,22,IW,22,IW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 2 - 14,Medium,0.11,9,22,LR,22,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 2 - 15,Medium,0.11,9,22,LR,22,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 2 - 16,Medium,0.11,9,22,LR,22,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 2 - 17,Medium,0.11,9,22,RL,22,RL,Tifeagle Bermudagrass
Plantation Course at Kapalua - 2 - 18,Medium,0.11,9,22,RL,22,RL,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 1,Medium,0.11,9,18,DW,20,DW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 2,Medium,0.11,9,18,DW,20,DW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 3,Medium,0.11,9,18,LR,20,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 4,Medium,0.11,9,18,LR,20,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 5,Medium,0.11,9,18,LR,20,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 6,Medium,0.11,9,18,IW,20,IW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 7,Medium,0.11,9,18,RL,20,RL,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 8,Medium,0.11,9,18,IW,20,IW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 9,Medium,0.11,9,18,IW,20,IW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 10,Medium,0.11,9,18,IW,20,IW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 11,Medium,0.11,9,18,RL,20,RL,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 12,Medium,0.11,9,18,DW,20,DW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 13,Medium,0.11,9,18,IW,20,IW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 14,Medium,0.11,9,18,LR,20,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 15,Medium,0.11,9,18,LR,20,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 16,Medium,0.11,9,18,LR,20,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 17,Medium,0.11,9,18,RL,20,RL,Tifeagle Bermudagrass
Plantation Course at Kapalua - 3 - 18,Medium,0.11,9,18,RL,20,RL,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 1,Medium,0.11,9,20,DW,22,DW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 2,Medium,0.11,9,20,DW,22,DW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 3,Medium,0.11,9,20,LR,22,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 4,Medium,0.11,9,20,LR,22,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 5,Medium,0.11,9,20,LR,22,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 6,Medium,0.11,9,20,IW,22,IW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 7,Medium,0.11,9,20,RL,22,RL,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 8,Medium,0.11,9,20,IW,22,IW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 9,Medium,0.11,9,20,IW,22,IW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 10,Medium,0.11,9,20,IW,22,IW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 11,Medium,0.11,9,20,RL,22,RL,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 12,Medium,0.11,9,20,DW,22,DW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 13,Medium,0.11,9,20,IW,22,IW,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 14,Medium,0.11,9,20,LR,22,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 15,Medium,0.11,9,20,LR,22,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 16,Medium,0.11,9,20,LR,22,LR,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 17,Medium,0.11,9,20,RL,22,RL,Tifeagle Bermudagrass
Plantation Course at Kapalua - 4 - 18,Medium,0.11,9,20,RL,22,RL,Tifeagle Bermudagrass
Stadium Course - 1 - 1,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 2,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 3,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 4,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 5,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 6,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 7,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 8,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 9,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 10,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 11,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 12,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 13,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 14,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 15,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 16,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 17,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 1 - 18,Firm,0.1,11,  Var 3-6,SW, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 1,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 2,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 3,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 4,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 5,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 6,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 7,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 8,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 9,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 10,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 11,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 12,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 13,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 14,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 15,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 16,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 17,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 2 - 18,Firm,0.1,11,  Var 3-6,SW, Var 3-6,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 1,Firm,0.1,11,  NW 10-15,LR, NW 10-15,LR,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 2,Firm,0.1,11,  NW 10-15,LR, NW 10-15,LR,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 3,Firm,0.1,11,  NW 10-15,RL, NW 10-15,RL,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 4,Firm,0.1,11,  NW 10-15,IW, NW 10-15,IW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 5,Firm,0.1,11,  NW 10-15,LR, NW 10-15,LR,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 6,Firm,0.1,11,  NW 10-15,LR, NW 10-15,LR,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 7,Firm,0.1,11,  NW 10-15,RL, NW 10-15,RL,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 8,Firm,0.1,11,  NW 10-15,RL, NW 10-15,RL,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 9,Firm,0.1,11,  NW 10-15,RL, NW 10-15,RL,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 10,Firm,0.1,11,  NW 10-15,IW, NW 10-15,IW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 11,Firm,0.1,11,  NW 10-15,LR, NW 10-15,LR,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 12,Firm,0.1,11,  NW 10-15,LR, NW 10-15,LR,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 13,Firm,0.1,11,  NW 10-15,LR, NW 10-15,LR,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 14,Firm,0.1,11,  NW 10-15,LR, NW 10-15,LR,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 15,Firm,0.1,11,  NW 10-15,RL, NW 10-15,RL,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 16,Firm,0.1,11,  NW 10-15,RL, NW 10-15,RL,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 17,Firm,0.1,11,  NW 10-15,RL, NW 10-15,RL,Tifdwarf Bermuda/Ryegrass
Stadium Course - 3 - 18,Firm,0.1,11,  NW 10-15,DW, NW 10-15,DW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 1,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 2,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 3,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 4,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 5,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 6,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 7,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 8,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 9,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 10,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 11,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 12,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 13,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 14,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 15,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 16,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 17,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
Stadium Course - 4 - 18,Firm,0.1,11,  Calm,C, Var 4-8,SW,Tifdwarf Bermuda/Ryegrass
El Camaleon GC - 1 - 1,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,LR,Paspalum
El Camaleon GC - 1 - 2,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,LR,Paspalum
El Camaleon GC - 1 - 3,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,LR,Paspalum
El Camaleon GC - 1 - 4,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,LR,Paspalum
El Camaleon GC - 1 - 5,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,RL,Paspalum
El Camaleon GC - 1 - 6,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,RL,Paspalum
El Camaleon GC - 1 - 7,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,IW,Paspalum
El Camaleon GC - 1 - 8,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,DW,Paspalum
El Camaleon GC - 1 - 9,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,DW,Paspalum
El Camaleon GC - 1 - 10,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,DW,Paspalum
El Camaleon GC - 1 - 11,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,DW,Paspalum
El Camaleon GC - 1 - 12,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,LR,Paspalum
El Camaleon GC - 1 - 13,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,LR,Paspalum
El Camaleon GC - 1 - 14,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,LR,Paspalum
El Camaleon GC - 1 - 15,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,IW,Paspalum
El Camaleon GC - 1 - 16,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,RL,Paspalum
El Camaleon GC - 1 - 17,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,RL,Paspalum
El Camaleon GC - 1 - 18,Medium,0.1,10.75, SW 3-7,SW, NE 5-10,RL,Paspalum
El Camaleon GC - 2 - 1,Soft,0.1,10.75, NE 4-12,LR, E/NE 5-15 G20,LR,Paspalum
El Camaleon GC - 2 - 2,Soft,0.1,10.75, NE 4-12,LR, E/NE 5-15 G20,LR,Paspalum
El Camaleon GC - 2 - 3,Soft,0.1,10.75, NE 4-12,LR, E/NE 5-15 G20,LR,Paspalum
El Camaleon GC - 2 - 4,Soft,0.1,10.75, NE 4-12,LR, E/NE 5-15 G20,LR,Paspalum
El Camaleon GC - 2 - 5,Soft,0.1,10.75, NE 4-12,RL, E/NE 5-15 G20,RL,Paspalum
El Camaleon GC - 2 - 6,Soft,0.1,10.75, NE 4-12,RL, E/NE 5-15 G20,RL,Paspalum
El Camaleon GC - 2 - 7,Soft,0.1,10.75, NE 4-12,IW, E/NE 5-15 G20,IW,Paspalum
El Camaleon GC - 2 - 8,Soft,0.1,10.75, NE 4-12,DW, E/NE 5-15 G20,DW,Paspalum
El Camaleon GC - 2 - 9,Soft,0.1,10.75, NE 4-12,DW, E/NE 5-15 G20,DW,Paspalum
El Camaleon GC - 2 - 10,Soft,0.1,10.75, NE 4-12,DW, E/NE 5-15 G20,DW,Paspalum
El Camaleon GC - 2 - 11,Soft,0.1,10.75, NE 4-12,DW, E/NE 5-15 G20,DW,Paspalum
El Camaleon GC - 2 - 12,Soft,0.1,10.75, NE 4-12,LR, E/NE 5-15 G20,LR,Paspalum
El Camaleon GC - 2 - 13,Soft,0.1,10.75, NE 4-12,LR, E/NE 5-15 G20,LR,Paspalum
El Camaleon GC - 2 - 14,Soft,0.1,10.75, NE 4-12,LR, E/NE 5-15 G20,LR,Paspalum
El Camaleon GC - 2 - 15,Soft,0.1,10.75, NE 4-12,IW, E/NE 5-15 G20,IW,Paspalum
El Camaleon GC - 2 - 16,Soft,0.1,10.75, NE 4-12,RL, E/NE 5-15 G20,RL,Paspalum
El Camaleon GC - 2 - 17,Soft,0.1,10.75, NE 4-12,RL, E/NE 5-15 G20,RL,Paspalum
El Camaleon GC - 2 - 18,Soft,0.1,10.75, NE 4-12,RL, E/NE 5-15 G20,RL,Paspalum
El Camaleon GC - 3 - 1,Soft,0.1,10.75, E/NE 5-15 G20,LR, E/NE 5-15 G22,LR,Paspalum
El Camaleon GC - 3 - 2,Soft,0.1,10.75, E/NE 5-15 G20,LR, E/NE 5-15 G22,LR,Paspalum
El Camaleon GC - 3 - 3,Soft,0.1,10.75, E/NE 5-15 G20,LR, E/NE 5-15 G22,LR,Paspalum
El Camaleon GC - 3 - 4,Soft,0.1,10.75, E/NE 5-15 G20,LR, E/NE 5-15 G22,LR,Paspalum
El Camaleon GC - 3 - 5,Soft,0.1,10.75, E/NE 5-15 G20,RL, E/NE 5-15 G22,RL,Paspalum
El Camaleon GC - 3 - 6,Soft,0.1,10.75, E/NE 5-15 G20,RL, E/NE 5-15 G22,RL,Paspalum
El Camaleon GC - 3 - 7,Soft,0.1,10.75, E/NE 5-15 G20,IW, E/NE 5-15 G22,IW,Paspalum
El Camaleon GC - 3 - 8,Soft,0.1,10.75, E/NE 5-15 G20,DW, E/NE 5-15 G22,DW,Paspalum
El Camaleon GC - 3 - 9,Soft,0.1,10.75, E/NE 5-15 G20,DW, E/NE 5-15 G22,DW,Paspalum
El Camaleon GC - 3 - 10,Soft,0.1,10.75, E/NE 5-15 G20,DW, E/NE 5-15 G22,DW,Paspalum
El Camaleon GC - 3 - 11,Soft,0.1,10.75, E/NE 5-15 G20,DW, E/NE 5-15 G22,DW,Paspalum
El Camaleon GC - 3 - 12,Soft,0.1,10.75, E/NE 5-15 G20,LR, E/NE 5-15 G22,LR,Paspalum
El Camaleon GC - 3 - 13,Soft,0.1,10.75, E/NE 5-15 G20,LR, E/NE 5-15 G22,LR,Paspalum
El Camaleon GC - 3 - 14,Soft,0.1,10.75, E/NE 5-15 G20,LR, E/NE 5-15 G22,LR,Paspalum
El Camaleon GC - 3 - 15,Soft,0.1,10.75, E/NE 5-15 G20,IW, E/NE 5-15 G22,IW,Paspalum
El Camaleon GC - 3 - 16,Soft,0.1,10.75, E/NE 5-15 G20,RL, E/NE 5-15 G22,RL,Paspalum
El Camaleon GC - 3 - 17,Soft,0.1,10.75, E/NE 5-15 G20,RL, E/NE 5-15 G22,RL,Paspalum
El Camaleon GC - 3 - 18,Soft,0.1,10.75, E/NE 5-15 G20,RL, E/NE 5-15 G22,RL,Paspalum
El Camaleon GC - 4 - 1,Soft,0.1,10.75, E/NE 5-15 G20,LR, NE 4-12 G15,LR,Paspalum
El Camaleon GC - 4 - 2,Soft,0.1,10.75, E/NE 5-15 G20,LR, NE 4-12 G15,LR,Paspalum
El Camaleon GC - 4 - 3,Soft,0.1,10.75, E/NE 5-15 G20,LR, NE 4-12 G15,LR,Paspalum
El Camaleon GC - 4 - 4,Soft,0.1,10.75, E/NE 5-15 G20,LR, NE 4-12 G15,LR,Paspalum
El Camaleon GC - 4 - 5,Soft,0.1,10.75, E/NE 5-15 G20,RL, NE 4-12 G15,RL,Paspalum
El Camaleon GC - 4 - 6,Soft,0.1,10.75, E/NE 5-15 G20,RL, NE 4-12 G15,RL,Paspalum
El Camaleon GC - 4 - 7,Soft,0.1,10.75, E/NE 5-15 G20,IW, NE 4-12 G15,IW,Paspalum
El Camaleon GC - 4 - 8,Soft,0.1,10.75, E/NE 5-15 G20,DW, NE 4-12 G15,DW,Paspalum
El Camaleon GC - 4 - 9,Soft,0.1,10.75, E/NE 5-15 G20,DW, NE 4-12 G15,DW,Paspalum
El Camaleon GC - 4 - 10,Soft,0.1,10.75, E/NE 5-15 G20,DW, NE 4-12 G15,DW,Paspalum
El Camaleon GC - 4 - 11,Soft,0.1,10.75, E/NE 5-15 G20,DW, NE 4-12 G15,DW,Paspalum
El Camaleon GC - 4 - 12,Soft,0.1,10.75, E/NE 5-15 G20,LR, NE 4-12 G15,LR,Paspalum
El Camaleon GC - 4 - 13,Soft,0.1,10.75, E/NE 5-15 G20,LR, NE 4-12 G15,LR,Paspalum
El Camaleon GC - 4 - 14,Soft,0.1,10.75, E/NE 5-15 G20,LR, NE 4-12 G15,LR,Paspalum
El Camaleon GC - 4 - 15,Soft,0.1,10.75, E/NE 5-15 G20,IW, NE 4-12 G15,IW,Paspalum
El Camaleon GC - 4 - 16,Soft,0.1,10.75, E/NE 5-15 G20,RL, NE 4-12 G15,RL,Paspalum
El Camaleon GC - 4 - 17,Soft,0.1,10.75, E/NE 5-15 G20,RL, NE 4-12 G15,RL,Paspalum
El Camaleon GC - 4 - 18,Soft,0.1,10.75, E/NE 5-15 G20,RL, NE 4-12 G15,RL,Paspalum
CC of Jackson - 1 - 1,Medium,0.12,12,  8mph,RL, 13mph,RL,Bermudagrass
CC of Jackson - 1 - 2,Medium,0.12,12,  8mph,RL, 13mph,RL,Bermudagrass
CC of Jackson - 1 - 3,Medium,0.12,12,  8mph,DW, 13mph,DW,Bermudagrass
CC of Jackson - 1 - 4,Medium,0.12,12,  8mph,LR, 13mph,LR,Bermudagrass
CC of Jackson - 1 - 5,Medium,0.12,12,  8mph,LR, 13mph,LR,Bermudagrass
CC of Jackson - 1 - 6,Medium,0.12,12,  8mph,RL, 13mph,RL,Bermudagrass
CC of Jackson - 1 - 7,Medium,0.12,12,  8mph,IW, 13mph,IW,Bermudagrass
CC of Jackson - 1 - 8,Medium,0.12,12,  8mph,LR, 13mph,LR,Bermudagrass
CC of Jackson - 1 - 9,Medium,0.12,12,  8mph,LR, 13mph,LR,Bermudagrass
CC of Jackson - 1 - 10,Medium,0.12,12,  8mph,RL, 13mph,RL,Bermudagrass
CC of Jackson - 1 - 11,Medium,0.12,12,  8mph,RL, 13mph,RL,Bermudagrass
CC of Jackson - 1 - 12,Medium,0.12,12,  8mph,LR, 13mph,LR,Bermudagrass
CC of Jackson - 1 - 13,Medium,0.12,12,  8mph,DW, 13mph,DW,Bermudagrass
CC of Jackson - 1 - 14,Medium,0.12,12,  8mph,RL, 13mph,RL,Bermudagrass
CC of Jackson - 1 - 15,Medium,0.12,12,  8mph,RL, 13mph,RL,Bermudagrass
CC of Jackson - 1 - 16,Medium,0.12,12,  8mph,IW, 13mph,IW,Bermudagrass
CC of Jackson - 1 - 17,Medium,0.12,12,  8mph,LR, 13mph,LR,Bermudagrass
CC of Jackson - 1 - 18,Medium,0.12,12,  8mph,LR, 13mph,LR,Bermudagrass
CC of Jackson - 2 - 1,Medium,0.12,12, 10mph,RL, 15mph,RL,Bermudagrass
CC of Jackson - 2 - 2,Medium,0.12,12, 10mph,RL, 15mph,RL,Bermudagrass
CC of Jackson - 2 - 3,Medium,0.12,12, 10mph,DW, 15mph,DW,Bermudagrass
CC of Jackson - 2 - 4,Medium,0.12,12, 10mph,LR, 15mph,LR,Bermudagrass
CC of Jackson - 2 - 5,Medium,0.12,12, 10mph,LR, 15mph,LR,Bermudagrass
CC of Jackson - 2 - 6,Medium,0.12,12, 10mph,RL, 15mph,RL,Bermudagrass
CC of Jackson - 2 - 7,Medium,0.12,12, 10mph,IW, 15mph,IW,Bermudagrass
CC of Jackson - 2 - 8,Medium,0.12,12, 10mph,LR, 15mph,LR,Bermudagrass
CC of Jackson - 2 - 9,Medium,0.12,12, 10mph,LR, 15mph,LR,Bermudagrass
CC of Jackson - 2 - 10,Medium,0.12,12, 10mph,RL, 15mph,RL,Bermudagrass
CC of Jackson - 2 - 11,Medium,0.12,12, 10mph,RL, 15mph,RL,Bermudagrass
CC of Jackson - 2 - 12,Medium,0.12,12, 10mph,LR, 15mph,LR,Bermudagrass
CC of Jackson - 2 - 13,Medium,0.12,12, 10mph,DW, 15mph,DW,Bermudagrass
CC of Jackson - 2 - 14,Medium,0.12,12, 10mph,RL, 15mph,RL,Bermudagrass
CC of Jackson - 2 - 15,Medium,0.12,12, 10mph,IW, 15mph,IW,Bermudagrass
CC of Jackson - 2 - 16,Medium,0.12,12, 10mph,LR, 15mph,LR,Bermudagrass
CC of Jackson - 2 - 17,Medium,0.12,12, 10mph,LR, 15mph,LR,Bermudagrass
CC of Jackson - 2 - 18,Medium,0.12,12, 10mph,LR, 15mph,LR,Bermudagrass
CC of Jackson - 3 - 1,Soft,0.12,12, 12mph,LR, 16mph,DW,Bermudagrass
CC of Jackson - 3 - 2,Soft,0.12,12, 12mph,LR, 16mph,DW,Bermudagrass
CC of Jackson - 3 - 3,Soft,0.12,12, 12mph,LR, 16mph,LR,Bermudagrass
CC of Jackson - 3 - 4,Soft,0.12,12, 12mph,RL, 16mph,RL,Bermudagrass
CC of Jackson - 3 - 5,Soft,0.12,12, 12mph,RL, 16mph,RL,Bermudagrass
CC of Jackson - 3 - 6,Soft,0.12,12, 12mph,LR, 16mph,LR,Bermudagrass
CC of Jackson - 3 - 7,Soft,0.12,12, 12mph,RL, 16mph,RL,Bermudagrass
CC of Jackson - 3 - 8,Soft,0.12,12, 12mph,RL, 16mph,IW,Bermudagrass
CC of Jackson - 3 - 9,Soft,0.12,12, 12mph,RL, 16mph,IW,Bermudagrass
CC of Jackson - 3 - 10,Soft,0.12,12, 12mph,LR, 16mph,DW,Bermudagrass
CC of Jackson - 3 - 11,Soft,0.12,12, 12mph,LR, 16mph,LR,Bermudagrass
CC of Jackson - 3 - 12,Soft,0.12,12, 12mph,RL, 16mph,RL,Bermudagrass
CC of Jackson - 3 - 13,Soft,0.12,12, 12mph,LR, 16mph,LR,Bermudagrass
CC of Jackson - 3 - 14,Soft,0.12,12, 12mph,LR, 16mph,LR,Bermudagrass
CC of Jackson - 3 - 15,Soft,0.12,12, 12mph,DW, 16mph,RL,Bermudagrass
CC of Jackson - 3 - 16,Soft,0.12,12, 12mph,RL, 16mph,RL,Bermudagrass
CC of Jackson - 3 - 17,Soft,0.12,12, 12mph,RL, 16mph,IW,Bermudagrass
CC of Jackson - 3 - 18,Soft,0.12,12, 12mph,RL, 16mph,IW,Bermudagrass
CC of Jackson - 4 - 1,Medium,0.12,12, CALM,C, 10mph,DW,Bermudagrass
